Year,Series,Winner,W,Loser,W,Favorite,Underdog
2015,Finals,Golden State Warriors (1),4,Cleveland Cavaliers (2),2,GSW (-220),CLE (+190)
2014,Eastern Conf First Round,Indiana Pacers (1),4,Atlanta Hawks (8),3,IND (-600),ATL (+440)
2014,Eastern Conf First Round,Miami Heat (2),4,Charlotte Bobcats (7),0,MIA (-2500),CHA (+1000)
2014,Eastern Conf First Round,Brooklyn Nets (6),4,Toronto Raptors (3),3,BRK (-130),TOR (+110)
2014,Eastern Conf First Round,Washington Wizards (5),4,Chicago Bulls (4),1,CHI (-180),WAS (+160)
2014,Western Conf First Round,San Antonio Spurs (1),4,Dallas Mavericks (8),3,SAS (-875),DAL (+585)
2014,Western Conf First Round,Oklahoma City Thunder (2),4,Memphis Grizzlies (7),3,OKC (-500),MEM (+375)
2014,Western Conf First Round,Los Angeles Clippers (3),4,Golden State Warriors (6),3,LAC (-400),GSW (+285)
2014,Western Conf First Round,Portland Trail Blazers (5),4,Houston Rockets (4),2,HOU (-200),POR (+170)
2014,Eastern Conf Semifinals,Indiana Pacers (1),4,Washington Wizards (5),2,IND (-165),WAS (+145)
2014,Eastern Conf Semifinals,Miami Heat (2),4,Brooklyn Nets (6),1,MIA (-620),BRK (+450)
2014,Western Conf Semifinals,San Antonio Spurs (1),4,Portland Trail Blazers (5),1,SAS (-410),POR (+320)
2014,Western Conf Semifinals,Oklahoma City Thunder (2),4,Los Angeles Clippers (3),2,OKC (-205),LAC (+175)
2014,Eastern Conf Finals,Miami Heat (2),4,Indiana Pacers (1),2,MIA (-380),IND (+300)
2014,Western Conf Finals,San Antonio Spurs (1),4,Oklahoma City Thunder (2),2,SAS (-245),OKC (+205)
2014,Finals,San Antonio Spurs (1),4,Miami Heat (2),1,SAS (-155),MIA (+135)
2013,Eastern Conf First Round,Miami Heat (1),4,Milwaukee Bucks (8),0,MIA (-20000),MIL (+7500)
2013,Eastern Conf First Round,New York Knicks (2),4,Boston Celtics (7),2,NYK (-410),BOS (+320)
2013,Eastern Conf First Round,Indiana Pacers (3),4,Atlanta Hawks (6),2,IND (-380),ATL (+300)
2013,Eastern Conf First Round,Chicago Bulls (5),4,Brooklyn Nets (4),3,BRK (-145),CHI (+125)
2013,Western Conf First Round,Oklahoma City Thunder (1),4,Houston Rockets (8),2,OKC (-1900),HOU (+875)
2013,Western Conf First Round,San Antonio Spurs (2),4,Los Angeles Lakers (7),0,SAS (-1000),LAL (+650)
2013,Western Conf First Round,Golden State Warriors (6),4,Denver Nuggets (3),2,DEN (-460),GSW (+355)
2013,Western Conf First Round,Memphis Grizzlies (5),4,Los Angeles Clippers (4),2,LAC (-180),MEM (+160)
2013,Eastern Conf Semifinals,Miami Heat (1),4,Chicago Bulls (5),1,MIA (-3000),CHI (+1100)
2013,Eastern Conf Semifinals,Indiana Pacers (3),4,New York Knicks (2),2,NYK (-190),IND (+165)
2013,Western Conf Semifinals,Memphis Grizzlies (5),4,Oklahoma City Thunder (1),1,MEM (-127),OKC (+107)
2013,Western Conf Semifinals,San Antonio Spurs (2),4,Golden State Warriors (6),2,SAS (-950),GSW (+625)
2013,Eastern Conf Finals,Miami Heat (1),4,Indiana Pacers (3),3,MIA (-850),IND (+575)
2013,Western Conf Finals,San Antonio Spurs (2),4,Memphis Grizzlies (5),0,SAS (-145),MEM (+125)
2013,Finals,Miami Heat (1),4,San Antonio Spurs (2),3,MIA (-220),SAS (+180)
2012,Eastern Conf First Round,Philadelphia 76ers (8),4,Chicago Bulls (1),2,CHI (-1400),PHI (+900)
2012,Eastern Conf First Round,Miami Heat (2),4,New York Knicks (7),1,MIA (-900),NYK (+650)
2012,Eastern Conf First Round,Indiana Pacers (3),4,Orlando Magic (6),1,IND (-800),ORL (+600)
