Year,Series,Winner,W,Loser,W,Favorite,Underdog
1985,Eastern Conf First Round,Philadelphia 76ers (3),3,Washington Bullets (6),1,,
1985,Western Conf First Round,Denver Nuggets (2),3,San Antonio Spurs (7),2,,
1985,Western Conf First Round,Los Angeles Lakers (1),3,Phoenix Suns (8),0,,
1985,Western Conf First Round,Portland Trail Blazers (5),3,Dallas Mavericks (4),1,,
1985,Western Conf First Round,Utah Jazz (6),3,Houston Rockets (3),2,,
1985,Eastern Conf Semifinals,Boston Celtics (1),4,Detroit Pistons (4),2,,
1985,Eastern Conf Semifinals,Philadelphia 76ers (3),4,Milwaukee Bucks (2),0,,
1985,Western Conf Semifinals,Denver Nuggets (2),4,Utah Jazz (6),1,,
1985,Western Conf Semifinals,Los Angeles Lakers (1),4,Portland Trail Blazers (5),1,,
1985,Eastern Conf Finals,Boston Celtics (1),4,Philadelphia 76ers (3),1,,
1985,Western Conf Finals,Los Angeles Lakers (1),4,Denver Nuggets (2),1,,
1985,Finals,Los Angeles Lakers (1),4,Boston Celtics (1),2,,
1984,Eastern Conf First Round,Boston Celtics (1),3,Washington Bullets (8),1,,
1984,Eastern Conf First Round,Milwaukee Bucks (2),3,Atlanta Hawks (7),2,,
1984,Eastern Conf First Round,New Jersey Nets (6),3,Philadelphia 76ers (3),2,,
1984,Eastern Conf First Round,New York Knicks (5),3,Detroit Pistons (4),2,,
1984,Western Conf First Round,Dallas Mavericks (4),3,Seattle SuperSonics (5),2,,
1984,Western Conf First Round,Los Angeles Lakers (1),3,Kansas City Kings (8),0,,
1984,Western Conf First Round,Phoenix Suns (6),3,Portland Trail Blazers (3),2,,
1984,Western Conf First Round,Utah Jazz (2),3,Denver Nuggets (7),2,,
1984,Eastern Conf Semifinals,Boston Celtics (1),4,New York Knicks (5),3,,
1984,Eastern Conf Semifinals,Milwaukee Bucks (2),4,New Jersey Nets (6),2,,
1984,Western Conf Semifinals,Los Angeles Lakers (1),4,Dallas Mavericks (4),1,,
1984,Western Conf Semifinals,Phoenix Suns (6),4,Utah Jazz (2),2,,
1984,Eastern Conf Finals,Boston Celtics (1),4,Milwaukee Bucks (2),1,,
1984,Western Conf Finals,Los Angeles Lakers (1),4,Phoenix Suns (6),2,,
1984,Finals,Boston Celtics (1),4,Los Angeles Lakers (1),3,,
1983,Eastern Conf First Round,Boston Celtics (3),2,Atlanta Hawks (6),1,,
1983,Eastern Conf First Round,New York Knicks (5),2,New Jersey Nets (4),0,,
1983,Western Conf First Round,Denver Nuggets (6),2,Phoenix Suns (3),1,,
1983,Western Conf First Round,Portland Trail Blazers (5),2,Seattle SuperSonics (4),0,,
1983,Eastern Conf Semifinals,Milwaukee Bucks (2),4,Boston Celtics (3),0,,
1983,Eastern Conf Semifinals,Philadelphia 76ers (1),4,New York Knicks (5),0,,
1983,Western Conf Semifinals,Los Angeles Lakers (1),4,Portland Trail Blazers (5),1,,
1983,Western Conf Semifinals,San Antonio Spurs (2),4,Denver Nuggets (6),1,,
1983,Eastern Conf Finals,Philadelphia 76ers (1),4,Milwaukee Bucks (2),1,,
1983,Western Conf Finals,Los Angeles Lakers (1),4,San Antonio Spurs (2),2,,
1983,Finals,Philadelphia 76ers (1),4,Los Angeles Lakers (1),0,,
1982,Eastern Conf First Round,Philadelphia 76ers (3),2,Atlanta Hawks (6),0,,
1982,Eastern Conf First Round,Washington Bullets (5),2,New Jersey Nets (4),0,,
1982,Western Conf First Round,Phoenix Suns (5),2,Denver Nuggets (4),1,,
1982,Western Conf First Round,Seattle SuperSonics (3),2,Houston Rockets (6),1,,
1982,Eastern Conf Semifinals,Boston Celtics (1),4,Washington Bullets (5),1,,
1982,Eastern Conf Semifinals,Philadelphia 76ers (3),4,Milwaukee Bucks (2),2,,
1982,Western Conf Semifinals,Los Angeles Lakers (1),4,Phoenix Suns (5),0,,
1982,Western Conf Semifinals,San Antonio Spurs (2),4,Seattle SuperSonics (3),1,,
1982,Eastern Conf Finals,Philadelphia 76ers (3),4,Boston Celtics (1),3,,
1982,Western Conf Finals,Los Angeles Lakers (1),4,San Antonio Spurs (2),0,,
1982,Finals,Los Angeles Lakers (1),4,Philadelphia 76ers (3),2,,
1981,Eastern Conf First Round,Chicago Bulls (5),2,New York Knicks (4),0,,
1981,Eastern Conf First Round,Philadelphia 76ers (3),2,Indiana Pacers (6),0,,
1981,Western Conf First Round,Houston Rockets (6),2,Los Angeles Lakers (3),1,,
1981,Western Conf First Round,Kansas City Kings (5),2,Portland Trail Blazers (4),1,,
1981,Eastern Conf Semifinals,Boston Celtics (1),4,Chicago Bulls (5),0,,
1981,Eastern Conf Semifinals,Philadelphia 76ers (3),4,Milwaukee Bucks (2),3,,
1981,Western Conf Semifinals,Houston Rockets (6),4,San Antonio Spurs (2),3,,
1981,Western Conf Semifinals,Kansas City Kings (5),4,Phoenix Suns (1),3,,
1981,Eastern Conf Finals,Boston Celtics (1),4,Philadelphia 76ers (3),3,,
1981,Western Conf Finals,Houston Rockets (6),4,Kansas City Kings (5),1,,
1981,Finals,Boston Celtics (1),4,Houston Rockets (6),2,,
1980,Eastern Conf First Round,Houston Rockets (4),2,San Antonio Spurs (5),1,,
1980,Eastern Conf First Round,Philadelphia 76ers (3),2,Washington Bullets (6),0,,
1980,Western Conf First Round,Phoenix Suns (4),2,Kansas City Kings (5),1,,
1980,Western Conf First Round,Seattle SuperSonics (3),2,Portland Trail Blazers (6),1,,
1980,Eastern Conf Semifinals,Boston Celtics (1),4,Houston Rockets (4),0,,
1980,Eastern Conf Semifinals,Philadelphia 76ers (3),4,Atlanta Hawks (2),1,,
1980,Western Conf Semifinals,Los Angeles Lakers (1),4,Phoenix Suns (4),1,,
1980,Western Conf Semifinals,Seattle SuperSonics (3),4,Milwaukee Bucks (2),3,,
1980,Eastern Conf Finals,Philadelphia 76ers (3),4,Boston Celtics (1),1,,
1980,Western Conf Finals,Los Angeles Lakers (1),4,Seattle SuperSonics (3),1,,
1980,Finals,Los Angeles Lakers (1),4,Philadelphia 76ers (3),2,,
